0,0.28273559532074916
1,-1.450674940715544
2,-1.8512674097825463
3,-2.008791799113775
4,-2.185501258315829
5,-2.327860741255184
6,-2.434782652759168
7,-2.5827776103590927
8,-2.6093654891398423
9,-2.5009549733561776
10,-2.78278968622908
11,-2.646412931596084
12,-2.844710929474483
13,-2.7880187559251985
14,-2.8338233615892627
15,-3.0780998525830605
16,-2.8927917014807463
17,-3.0352621589166424
18,-3.1385409741972885
19,-3.0458139033677676
20,-2.7923503866574415
21,-3.1357244349395237
22,-3.2776095122875026
23,-3.0348808480387865
24,-3.3305113992343345
25,-3.144713579759506
26,-3.3308274326846004
27,-3.327148857371261
28,-3.32671602598081
29,-3.265556115967532
30,-3.2854577219113708
31,-3.3768473154244325
32,-3.3203755327267572
33,-3.2060318561270833
34,-3.3905324263032526
35,-3.1632931043083468
36,-3.6542276991531253
37,-3.326370300647492
38,-3.442931056333085
39,-3.7018733514317623
40,-3.447360957041383
41,-3.407336345563332
42,-3.353940174992507
43,-3.2395355195427933
44,-3.390944615006447
45,-3.560819676145911
46,-3.588631535259386
47,-3.543151012311379
48,-3.3834012749915323
49,-3.6857310069414475
