
0,-1.107216913253069,
1,-1.5605599507689476,
2,-2.030620902776718,
3,-2.31193745136261,
4,-2.4649203419685364,
5,-2.399827241897583,
6,-2.7636014819145203,
7,-2.8678062707185745,
8,-2.865747794508934,
9,-3.366250514984131,
10,-3.027989536523819,
11,-3.3604814410209656,
12,-2.767743766307831,
13,-3.0117795765399933,
14,-3.029954642057419,
15,-3.6613644659519196,
16,-3.017100542783737,
17,-3.2715042531490326,
18,-3.2904109954833984,
19,-2.712529167532921,
20,-3.24315944314003,
21,-3.554788261651993,
22,-2.9496129602193832,
23,-3.1101158261299133,
24,-3.155100852251053,
25,-3.546396106481552,
26,-3.237911731004715,
27,-3.5764467120170593,
28,-3.5805177688598633,
29,-3.6395389437675476,
30,-3.3108000457286835,
31,-3.518757164478302,
32,-3.720723271369934,
33,-3.881890892982483,
34,-3.6895642280578613,
35,-3.5850451588630676,
36,-3.4555846750736237,
37,-3.8333632946014404,
38,-4.066082447767258,
39,-3.849504739046097,
40,-3.7452193200588226,
41,-3.793358862400055,
42,-3.2015595138072968,
43,-3.718180626630783,
44,-4.159164994955063,
45,-3.8363018333911896,
46,-4.259353131055832,
47,-3.8443532288074493,
48,-3.866653025150299,
49,-4.056870728731155,
